Decision Scenario,,Review Category,Case Number,Site: App ID,Site: MSID,WP GPV,Date/Time Closed,Description
2.1 - Not Passed - Payouts released,,"Pharmaceuticals, prescriptions",00336101,692e2cfa057f1f7dd5924afd,b980d353-f304-48fb-ac1f-b08a5cf78069,2026.9,"3/17/2026, 8:21 AM","The keywords were detected in the following sources: base44
                    
                                App Name: Nexa Peptides
        
                App Description: Your trusted source for high-quality, legally sourced peptides for research and cosmetic use.
        
                App Conversation Summary: The user is developing an e-commerce storefront for research peptides, centered on an integrated ""Base44 Payments"" (Wix-powered) checkout flow. Key technical infrastructure includes the `createCheckout.js` backend function, `wix-payments-webhook.js` for post-payment processing, and a `ThankYou.jsx` confirmation page. The project architecture leverages Slack and Make.com integrations for transaction notifications, and the checkout logic is designed to redirect users to the Wix-hosted payment portal.

Recent interactions have shifted from architectural implementation to troubleshooting and environment verification. The user has been attempting to verify transaction data"
2.3 - Not Passed - No balance,,Ewallet or emoney,00336103,699d3f34e14be13914b93527,bd644d9d-2771-4253-bdff-aa68bd012385,0,"3/31/2026, 6:58 PM","The keywords were detected in the following sources: base44
                    
                                App Name: Anukenatathen Marketings
        
                App Description: An all-in-one marketing solution designed to help Anukn dominate markets through strategic brand building, digital marketing, and data-driven growth. Innovation and integration.
        
                App Conversation Summary: The user is expanding the ""Anukenatathen Marketings"" platform, specifically focusing on its ""Blockchain Solutions"" and ""Careers"" sections. Key developments include the creation of a new dedicated `BlockchainSolutions` page, which is now linked from the home page's feature section, providing a comprehensive overview of the company's crypto and blockchain service offerings.

In the careers section, the user has significantly expanded the hiring scope by adding six new specialized roles in security, cyber forensics, and blockchain engineering to the application dropdown menu. A"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00336874,699ff79abfd1788d4283f1be,f390dff3-518e-418c-8aac-6405ee63d682,0,"3/17/2026, 8:13 AM",
2.3 - Not Passed - No balance,,Gambling,00336873,69645a6ff32d70954d1646f6,129a86ff-85d4-4e3e-a238-f12fc4fff01e,0,"3/17/2026, 8:14 AM",gambling app
2.3 - Not Passed - No balance,,Game of skills with cash or prizes,00336875,68ffc964819723bea88c9474,d76920a0-08cd-4c51-91f7-b391204eb37d,0,"3/17/2026, 8:12 AM","App Name: Rankify
        
            App Description: Rankify is your go-to app for creating and managing dynamic leaderboards. Effortlessly upload your data from spreadsheets to generate engaging leaderboards, track top performers, and allow users to easily search for their own rankings.
        
            App Conversation Summary: The user is building a ""LineupLegends Leaderboard"" application. The focus has been on refining the display of sponsor information on the leaderboard. Previously, the text on the sponsor banner was updated from ""March MATness presented by FanDuel"" to ""New users may qualify for a special championship weekend offer,"" and ""OFFICIAL PARTNER"" was changed to ""OFFICIAL AFFILIATE.""

The latest updates involve making the entire sponsor banner clickable. Both the desktop and mobile versions of the banner now link to a specific FanDuel promotional URL (`https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_46721b_96c_&affid=21485&siteid=46721&adid=96&c=`). This w"
2.3 - Not Passed - No balance,,Marketplace and aggregators,00336878,699d295d586cad26f31aad56,b0858b0b-7eac-4cd4-9365-b1bf058917f6,0,"3/19/2026, 11:23 PM",
2.3 - Not Passed - No balance,,Gambling,00337241,69b429f9d993e5da31c42f04,4ff15921-9a37-4ec8-a1bd-3b5cd6d4057e,0,"3/22/2026, 9:23 AM","The keywords were detected in the following sources: base44
                    
                                App Name: VantageBet
        
                App Description: Experience the thrill of high-stakes gaming with our selection of instant-play, real-money challenges designed for elite players.
        
                App Conversation Summary: The user is developing a luxury casino platform on Base44, featuring a wallet system, ""Base44 Payments"" (Wix) integration, and a ""Fish Shooting"" mini-game. Recent development focused on resolving a 404 routing error for the ""Fish Shooting"" game, which was successfully addressed by renaming the source file to `pages/FishShootingGame.js` and updating the relevant navigation links in `pages/Home`.

The platform currently includes a withdrawal system that tracks transactions via the `Transaction` entity and supports various payment methods including crypto in the UI. However, the crypto withdrawal functionality remains a placeholder withou"
2.3 - Not Passed - No balance,,Gambling,00338209,699889d423147dda0708bc64,13779853-6559-4a24-9960-24ab71e5bac7,0,"3/22/2026, 8:43 AM","""The user is building a prediction market application called """"Pulse"""". Initially, the app was designed for trading on trends and events, but it has been refined to focus specifically on cultural entities like celebrities, films, and sports teams. The core functionality allows users to """"long"""" or """"short"""" these entities, with prices fluctuating based on sentiment and trading activity, and importantly, there is no resolution to the """"bets"""".

Key development stages included defining the `Market` and `Position` entities, setting up a dark-themed UI with fintech-inspired aesthetics, and building out core pages like Markets feed, Market Detail, Portfolio, and Leaderboard. The user also requested and received an Admin page for managing markets, which allows for easy addition and deletion of entities. Recent adjustments focused on enhancing the UI of the MarketCard component, making the price display more prominent with a dollar sign and larger size, and integrating """"long"""" and """"short"""
2.3 - Not Passed - No balance,,Gambling,00338210,68e0a47a5735f7c3d2b0a702,6f90b6f2-3cad-46cb-a3a0-f3201388b406,0,"3/22/2026, 8:38 AM","""GolfPulse: Bringing Your Golf Game Into The Future... Too many golfers are still stuck in the dark ages, fumbling with soggy paper scorecards, scratching out scores with stubby pencils, and wasting precious time after every round trying to calculate who owes what for skins, greenies, and Nassau bets. GolfPulse changes everything. Our app lets you track live scores hole-by-hole on your phone, automatically calculates every wager in real-time (so everyone knows the stakes as they play), maintains accurate handicaps with historical round tracking, and creates beautiful digital scorecards you can review anytime. No more arguments, no more manual math, no more lost paper scorecards blowing away in the wind. Just pure golf with instant, transparent scoring and automatic bet settlements. Whether you're running a casual Saturday foursome or managing a full tournament with multiple groups, GolfPulse handles it all seamlessly. And coming soon: GolfPulse Pro for serious golf groups and golf cour"
2.2 - Not Passed - Payouts upon KYC,,Marketplace and aggregators,00338211,6892830893d0965f5376de75,205071b2-26ad-4ca1-a807-b41696c7366a,0,"3/22/2026, 8:37 AM",AI powered cars marketplace
2.1 - Not Passed - Payouts released,,Illegal products or services,00338567,69b5e7aed8895bcbf9f1423b,0a6e5e83-2ad7-43b6-bfe8-c2691304dd22,989.8,"3/25/2026, 11:42 AM","The keywords were detected in the following sources: base44
                    
                                App Name: AVERA
        
                App Description: A luxury e-commerce platform for high-purity scientific research compounds, merging clinical precision with refined wellness.
        
                App Conversation Summary: The project, Avera Refined Wellness, is a research peptide platform built on the Base44 platform. Recent efforts have focused on finalizing operational infrastructure, specifically configuring the Resend API for transactional emails and standardizing branding by migrating all communication references from the legacy `averawellness.com` domain to `averarefined.com`.

Key functional enhancements include a complete audit and replacement of the support email address across all backend functions (webhooks, order notifications, and cart reminders) and frontend components. Additionally, the user experience in the Shop has been upgraded to support mult"
2.2 - Not Passed - Payouts upon KYC,,Adult entertainment,00338968,69b85b2e936a87b0fc033a58,bd8b56a1-f939-465e-a921-526af1a9646a,1.99,"3/25/2026, 11:41 AM","The keywords were detected in the following sources: base44
                    
                                App Name: Rank
        
                App Description: The elite gay dating experience where genuine appreciation sets your status—rate connections 1-10 to discover matches within your league and beyond.
        
                App Conversation Summary: The ""Ranked"" dating application has been updated with enhanced user profile features. The `Profile` entity schema was expanded to include `sexuality` and `relationship_status` fields, both of which are now integrated into the `MyProfile.jsx` edit form and displayed as styled badges on public profile views.

Additionally, the application’s interest and kink metadata have been significantly overhauled. The interest list was expanded to over 60 options across diverse categories, and the `lib/kinkOptions.js` file was updated to include a comprehensive range of BDSM-related preferences inspired by BDSMtest.org. Finally, the use"
7.2.2 - Not Passed - IP Rights - Payouts released,,,00339057,69b083c23f9b8320a480723c,3fb44a74-a028-42f8-9a5e-79ef5c2397a9,95,"3/25/2026, 3:52 PM","requirement: intellectual_property_usage
            reason category: counterfeit or unauthorized goods
            report: website compliance: url is None - offline
PDF URL: https://wixmp-90ef227251107558e3a6a71f.wixmp.com/payments-ds/3fb44a74-a028-42f8-9a5e-79ef5c2397a9_daily_batch_wp_first_trx_pop_20260315.pdf
PDF created on: 2026-03-15
Assigned MCC: 5399 Miscellaneous General Merchandise
Predicted MCC: 5399 Miscellaneous General Merchandise"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00339637,69be07ded709f847ea0e826a,56c783a6-9fe9-45cc-8abe-42f7f42639d3,0,"3/28/2026, 5:46 PM","The keywords were detected in the following sources: base44
                    
                                App Name: Monarch Research Labs
        
                App Description: Premium, pharmaceutical-grade research peptides engineered for precision and consistency.
        
                App Conversation Summary: The ""Monarch Research Labs"" platform has finalized its `AgeVerificationAuth` component, ensuring users verify their age and explicitly agree to terms and conditions before accessing the site. This implementation includes a mandatory checkbox integrated into both the login and registration flows, with logic added to the authentication process to prevent access if the terms are not accepted.

Recent UI refinements have optimized the layout of the `AgeVerificationAuth` component. The ""Register here"" and ""Sign in here"" toggle links have been moved to appear directly below the primary action button and above the mandatory terms and conditions checkbox, improving the lo"
2.3 - Not Passed - No balance,,Sexually oriented dating services,00340692,69bacc99b3edb6f0dc395ccf,7cec54e3-3bb2-47f6-b8cc-5daaf4dd0c30,0,"3/29/2026, 8:08 AM","""App Name: Sparks Meet
        
            App Description: Connect with people who share your interests through a mindful, discovery-focused dating experience. Join today for a $9.99 one-time membership fee with unlimited access.
        
            App Conversation Summary: The user is transitioning the """"Spark"""" dating application to a more robust, state-managed routing architecture. Key updates include the implementation of a persistent, tab-based navigation system where each of the four main sections (Discover, Matches, Chats, and Profile) maintains its own independent navigation history stack, moving away from reliance on the browser's native `window.history`.

To support this new navigation pattern, the project has integrated a custom `tabHistory.js` module to manage stacks and state, and updated the `PageTransition` component to be direction-aware. This allows for native-style slide animations—pushing in from the right and popping out to the right—which improves the app"
2.1 - Not Passed - Payouts released,,Crowdfunding,00340687,69b9d9d73667bc465f6b4c3f,36818712-2032-4260-8ac4-ea489e52fd65,0,"4/10/2026, 8:00 AM","""App Name: Fan Club Athletics
        
            App Description: The Easiest Fundraiser On The Planet! 
        
            App Conversation Summary: The project has expanded its administrative capabilities to support a more robust hierarchical structure between Organizations and Teams. The core development involved introducing an `AddOrganizationForm` component to handle the creation of new organization entities, which include metadata like logos, descriptions, and slugs.

Integration work was performed on the `Analytics` page, where a new """"Organizations"""" tab was added to allow management of these entities directly within the admin dashboard. Simultaneously, the `AddTeamForm` was updated to include an `organization_id` field, enabling administrators to link teams to specific organizations during the creation or editing process via a new selection dropdown. These changes facilitate a better-organized fundraising ecosystem by enforcing parent-child relationships between orga"
2.3 - Not Passed - No balance,,Sexually oriented dating services,00340689,69ba14d79c77813939baf63d,eb92d623-c01f-4e58-94ea-387a5273d618,0,"3/29/2026, 8:15 AM","""App Name: Ratchets
        
            App Description: The ultimate destination for thrill-seekers looking for fast, provocative connections and daring romance. Find your edge, break the mold, and make your move.
        
            App Conversation Summary: Ratchets.com has fully operationalized its """"Reputation"""" module through a series of event-driven automations. The system now tracks user reliability by hooking into `Dare` status updates, `FantasyBoost` creations, `Message` activity, and `RiderNomination` events. The backend function `updateReputation.js` has been refined to handle these specific entity payloads, calculating point totals based on defined weights (e.g., +15 for completed dares, -3 for declined dares) and automatically assigning users to one of four tiers: """"Rookie,"""" """"Rising,"""" """"Hot,"""" or """"Ratchet Legend.""""

To increase the visibility of this system, the user’s reliability score is now surfaced directly in the UI. The `Profile.jsx` page has been update"
2.3 - Not Passed - No balance,,Game of skills with cash or prizes,00340691,697260d06ed41ad568460a46,0fb84b0c-30a4-4c93-b2bb-2931fd39c22c,0,"4/10/2026, 8:34 AM","""App Name: Xtudio
        
            App Description: Xtudio is the ultimate platform for creators to showcase their talent in video challenges, with a chance to win cash prizes. 
        
            App Conversation Summary: The project continues to evolve the """"XtudioTimeChallenge"""" application, with recent efforts focused on cleaning up legacy pages and implementing a real-time notification system. The """"Live Arena"""" page has been fully removed, including its associated file, routing in `App.jsx`, and navigation entry.

To enhance user engagement, a new `NotificationToast` component was created to provide real-time, animated pop-up alerts for specific events such as winning challenges, receiving new quests, or earning rewards. This component was integrated into the main layout to ensure it remains active across the application. Supporting these changes, the `Notification` entity schema was updated to include the new notification types (`quest_received`, `reward_earned`), an"
2.3 - Not Passed - No balance,,Financial or money services,00340688,69bef37fdda2104719321db1,2315af9a-4090-4ee9-99fb-2a106aaf0081,0,"4/10/2026, 8:32 AM",Online Bingo platform
2.3 - Not Passed - No balance,,Sexually oriented dating services,00340700,69b8b214762017394f3dbc3c,6df3a43c-2552-4741-893d-7d6382243675,0,"3/29/2026, 8:14 AM","""App Name: Singles Connect
        
            App Description: An intentional dating experience that connects you with people based on shared values and meaningful chemistry.
        
            App Conversation Summary: The project has evolved into a high-performance, mobile-first application using a custom navigation architecture and `Framer Motion` for native-like transitions. Key infrastructure includes a `SubPageWrapper` for slide-in sub-routes (Chat, EditProfile) and an `AnimatedRoutes` strategy that maintains persistent state for main navigation tabs. To improve Android back-button behavior, tab navigation links were updated to use the `replace` property, effectively managing the history stack.

Technical state and performance enhancements include:
*   **Data Management:** Migrated to `React Query` with standardized `staleTime` and mutation settings. Chat functionality now utilizes optimistic updates for instant UI feedback, while the Messages page leverages efficient "
2.3 - Not Passed - No balance,,Gambling,00341092,69c3e829ee042cb1db4f9d79,2ed11bb4-01c4-4d6b-a913-673c3f4fe424,0,"3/31/2026, 7:02 PM","The keywords were detected in the following sources: base44
                    
                                App Name: VelvetSpins
        
                App Description: Experience the thrill of a premium virtual casino with immersive slots, classic table games, and daily challenges. Play for fun, climb the leaderboards, and top up your balance to keep the excitement going anytime, anywhere.
        
                App Conversation Summary: The user is building a virtual casino application that features games like slots, blackjack, and roulette using virtual tokens. While the app mimics a real-money casino experience, it is explicitly designed for entertainment purposes and does not facilitate real-money gambling.

To support the economy of the app, the user integrated Wix Payments (branded as Base44 Payments) to allow users to purchase token bundles with real money when they run out of virtual currency. Key project components include:
*   **Entities:** A `Player` entity to tra"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00341095,69c2ceb71f3fe657e1a8b45e,a2a1782a-5a3e-48bf-baca-ac3813d69ed7,0,"3/31/2026, 12:20 PM","The keywords were detected in the following sources: base44
                    
                                App Name: BioSync
        
                App Description: A high-end longevity laboratory offering precision peptide therapies and wellness optimization rituals for the modern biological explorer.
        
                App Conversation Summary: The project is a premium, clinical-aesthetic e-commerce platform (""BIO-SYNC"") for wellness, peptides, and digital health plans. The application uses a ""lab-inspired"" design system with a refined color palette, implemented via Tailwind CSS and Base44 entities to manage products, orders, and reviews. Key features include a robust product catalog with dynamic dose selection and a persistent shopping cart managed by a `CartProvider`.

Recent updates focused on enhancing social proof and expanding the product offering. A `Review` entity was defined to support verified customer feedback, with a corresponding `ReviewsSection` component "
2.3 - Not Passed - No balance,,Financial or money services,00341097,69b9ec41b183a3a454c07c84,fe560c81-8da1-415c-9413-77821688baad,0,"3/31/2026, 7:03 PM","The keywords were detected in the following sources: base44
                    
                                App Name: SwiftPay
        
                App Description: A seamless, secure platform for instant peer-to-peer payments, personal banking, and card management.
        
                App Conversation Summary: The ""CashFlow"" application has evolved into a fully functional financial dashboard with real-time data integration and expanded monetization features. Key architectural updates include the implementation of a `PriceContext` for real-time crypto tracking (CoinGecko API) and the consolidation of financial logic, ensuring that balances are synchronized across Dashboard, Crypto, Stock, and Send modules. The application now features robust balance validation for all outgoing transactions and a dynamic data-seeding mechanism that provides new users with a populated transaction history upon onboarding.

Building on these foundations, the project has integrated ""Base44 Pay"
2.3 - Not Passed - No balance,,Financial advisor,00341242,69c48f41c8d5f744ec3c91c0,63f90cdb-444b-4945-b924-6204cb294d4e,0,"4/1/2026, 4:09 PM","The keywords were detected in the following sources: base44
                    
                                App Name: WealthFlow
        
                App Description: Your premium hub for mastering wealth, health, and cutting-edge intelligence through expert-led channels and community growth.
        
                App Conversation Summary: The user is building ""WealthHub,"" a premium membership platform featuring eight distinct channels for specialized content (Earn Money Online, Health, Education, AI, Investing, Stock Market, Crypto, and Workouts). The application uses a Discord-style layout with a sidebar navigation and a real-time feed powered by a Base44 `Post` entity.

Key technical decisions include the implementation of a dark-themed UI using Tailwind CSS and Framer Motion for animations. The project includes a `Community` page for authenticated browsing of channel feeds and a `Landing` page for value proposition and conversion.

The user recently updated the subscrip"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00341246,69b99fb83000433f72083b56,ab0707a6-ffcf-456e-b658-9beaf0d7db1f,0,"4/1/2026, 3:25 PM","The keywords were detected in the following sources: base44
                    
                                App Name: DNVR Peptides
        
                App Description: Premium research-focused peptide store offering high-purity laboratory compounds with complete batch transparency and elevated standards.
        
                App Conversation Summary: The user is finalizing the ""DNVR Peptides"" ecommerce platform, transitioning from a functional prototype to a launch-ready production state. Key technical progress includes the deployment of a full entity architecture (Product, Order, Subscriber, etc.), the integration of a comprehensive design system utilizing a dark-themed, biotech-inspired aesthetic, and the development of a complete site infrastructure, including an age-gate, multi-step checkout, and compliance-focused policy pages.

Recent refinements have focused on brand alignment and production readiness. This includes replacing temporary text-based headers with a cu"
