,app url,WP account id,WP BO link,app description from (agentic) - short,UW Recommended decision,UW reasoning,app id ,For descriprion,,,,,,,,,,,,,
,https://evnt-up-4bdd9654.base44.app,6cd13876-afe1-465a-8936-ca7732d7c003,WP BO Link,"The user is building a comprehensive live streaming platform with advanced features. The platform now includes robust video-on-demand (VOD) and clip management, with AI enhancements for automatic highlight generation and transcript-based clipping. Real-time and historical stream analytics have been integrated, providing insights into viewership and engagement.",Verification,"Risk of adult and adult live-chat features; Risk of Live-streaming Services with in-app currency
Live-streaming Services with in-app donations functionality",69948763ca2ad1934bdd9654,"App description: The user is building a comprehensive live streaming platform with advanced features. The platform now includes robust video-on-demand (VOD) and clip management, with AI enhancements for automatic highlight generation and transcript-based clipping. Real-time and historical stream analytics have been integrated, providing insights into viewership and engagement.UW Deciosion: VerificationUW reasoning Risk of adult and adult live-chat features; Risk of Live-streaming Services with in-app currency
Live-streaming Services with in-app donations functionality",,,,,,,,,,,,,
28.02.2026,https://assets-highrise.base44.app,a3e06c6a-1c91-4ea2-9da2-934391c7b69f,WP BO Link,The user is building a credit purchasing flow using Whop for checkout.,Termination,"1. Virtual wallet / stored value
2. Cannabis related business ",695af8ef2751368de941f3fc,"App description: The user is building a credit purchasing flow using Whop for checkout.UW Deciosion: TerminationUW reasoning 1. Virtual wallet / stored value
2. Cannabis related business ",,,,,,,,,,,,,
28.02.2026,https://majestic-draft-master-pro.base44.app,27e55886-ae1e-4609-9fbb-b014c1f4903b,WP BO Link,The user is building a fully integrated Dynasty Fantasy Football ecosystem for DraftWizAI,Termination,"Skill games, fantasy sports.
AI-POWERED FANTASY BASEBALL PLATFORM The Auction Intelligence Platform For Competitive Fantasy Baseball Real-time inflation modeling. Multi-source projections. AI bid optimization.",699dd34d2a51a522c842f6d5,"App description: The user is building a fully integrated Dynasty Fantasy Football ecosystem for DraftWizAIUW Deciosion: TerminationUW reasoning Skill games, fantasy sports.
AI-POWERED FANTASY BASEBALL PLATFORM The Auction Intelligence Platform For Competitive Fantasy Baseball Real-time inflation modeling. Multi-source projections. AI bid optimization.",,,,,,,,,,,,,
28.02.2026,https://symptom-navigator-ent.base44.app/login,9565ca8d-08d5-4b2e-822c-f00529f4d7c3,WP BO Link,"""Home Treatment"" tab, including comprehensive guides for over-the-counter medications, instructional videos, and step-by-step instructions for various home care procedures. A ""Telehealth Hub"" has also been integrated, allowing patients to schedule and join video consultations, with the ability to filter providers by complaint category.
",Termination,"Telehealth, medical advise without professional suppervision, rouge medical services marketplace",699e92c46f0a009b0cc473af,"App description: ""Home Treatment"" tab, including comprehensive guides for over-the-counter medications, instructional videos, and step-by-step instructions for various home care procedures. A ""Telehealth Hub"" has also been integrated, allowing patients to schedule and join video consultations, with the ability to filter providers by complaint category.
UW Deciosion: TerminationUW reasoning Telehealth, medical advise without professional suppervision, rouge medical services marketplace",,,,,,,,,,,,,
28.02.2026,https://matchclock.base44.app/,862dfc78-48b0-4d06-a48e-1bf8746cb570,WP BO Link,The user is building a social media application with live streaming and post creation capabilities.,Termination,Matchmaking service,68c59d91b1836e110157bd36,App description: The user is building a social media application with live streaming and post creation capabilities.UW Deciosion: TerminationUW reasoning Matchmaking service,,,,,,,,,,,,,
28.02.2026,https://apex-elite-tech.base44.app,66820ddb-7fe6-4bdf-a2c3-433709d0cc88,WP BO Link,"The user wants to build a premium e-commerce app and website for selling high-quality electronics, specifically focusing on cell phones (Apple, Motorola, Galaxy) and accessories like headphones, chargers, and external batteries. The core design principle is to convey a sense of luxury and exclusivity, avoiding any appearance of being second-hand or budget.",Verification,IPR for high brand electronics,6997595f9a4a5957399d951d,"App description: The user wants to build a premium e-commerce app and website for selling high-quality electronics, specifically focusing on cell phones (Apple, Motorola, Galaxy) and accessories like headphones, chargers, and external batteries. The core design principle is to convey a sense of luxury and exclusivity, avoiding any appearance of being second-hand or budget.UW Deciosion: VerificationUW reasoning IPR for high brand electronics",,,,,,,,,,,,,
28.02.2026,https://student-my-day.base44.app,ceecfc3b-4518-433e-8de2-9ef7c2e1aba6,WP BO Link,online payments for donations,Verification,"No KYC, not clear donations",694cacc93ed4abe1e7d42546,"App description: online payments for donationsUW Deciosion: VerificationUW reasoning No KYC, not clear donations",,,,,,,,,,,,,
28.02.2026,https://kind-donate-now.base44.app,4ec050c3-3f32-4ab6-8c4b-c78a07a5d561,WP BO Link,n/a,Verification,"Standalone Donation app without any content, no KYC",69a1cff15196c76aa2de9250,"App description: n/aUW Deciosion: VerificationUW reasoning Standalone Donation app without any content, no KYC",null,2026-02-27 17:11:20,69a1cff15196c76aa2de9250,,,,e1ca3259-9abc-47d3-89bb-060fe11f9673,brantkelley779@gmail.com,2026-02-27 17:11:20,FALSE,1,null,2026-02-27 17:11:26
28.02.2026,https://captured-nechesmanagementservices-dc1c111e.base44.app,d01d65e7-df2d-4b37-b5ab-009395c43e27,WP BO Link,"Null html, non-completed app",Verification,Undisclosed prodcuts /services,699f4ed0d0569d14dc1c111e,"App description: Null html, non-completed appUW Deciosion: VerificationUW reasoning Undisclosed prodcuts /services",,,,,,,,,,,,,
,https://star-play-win.docker-pr-3798.velino.org,,,,Termination,Gambling,6995b8cc402ba726075443ac,,,,,,,,,,,,,,
,https://crypto-connect-now.docker-pr-3798.velino.org,,,,Termination,Cryptocurrencies,6995b62f402ba72607544394,,,,,,,,,,,,,,
,https://gucci-style-hub.docker-pr-3798.velino.org,,,,Termination,IP Rights Infrigement,6995c091402ba726075443ba,,,,,,,,,,,,,,
,https://stream-hub-now.docker-pr-3798.velino.org,,,,Termination,Adult,6995ac32360b98e435b42c0a,,,,,,,,,,,,,,
,https://grow-learn-earn.docker-pr-3798.velino.org,,,,Termination,"Financial advise, deceptive marketing, suspected scam",6996e0769fbab7b29b03de94,,,,,,,,,,,,,,
,https://credi-collect-now.docker-pr-3798.velino.org,,,,Termination,"Credit, Money services",6996d7849fbab7b29b03de75,,,,,,,,,,,,,,
,https://loan-pay-easy.docker-pr-3798.velino.org,,,,Termination,Loans,6996de2b402ba726075443c9,,,,,,,,,,,,,,
,https://visa-path-pro.docker-pr-3798.velino.org,,,,Termination,Governmental services,6996dcb2402ba726075443c6,,,,,,,,,,,,,,
